PRIME,TARGET,RELATIONSHIP,LEXICALITY,COR_ANS,target_lowercase
appendix,APPEND,ND_W,W,f,append
beetum,TUSK,UNREL,W,f,tusk
scuffed,SCUFF,D_W,W,f,scuff
mully,MULL,D_PW,W,f,mull
musket,MUSK,ND_W,W,f,musk
inferno,INFER,ND_W,W,f,infer
baskel,HILT,UNREL,W,f,hilt
toiled,TOIL,D_W,W,f,toil
briskic,BRISK,D_PW,W,f,brisk
twitch,TWIT,ND_W,W,f,twit
electron,ELECT,ND_W,W,f,elect
rumpok,JEST,UNREL,W,f,jest
pulped,PULP,D_W,W,f,pulp
brower,BROW,D_PW,W,f,brow
surgeon,SURGE,ND_W,W,f,surge
snuffle,SNUFF,ND_W,W,f,snuff
tackol,DIRE,UNREL,W,f,dire
tangy,TANG,D_W,W,f,tang
trumpen,TRUMP,D_PW,W,f,trump
sledge,SLED,ND_W,W,f,sled
scalpel,SCALP,ND_W,W,f,scalp
muttum,REEF,UNREL,W,f,reef
fleeing,FLEE,D_W,W,f,flee
shackly,SHACK,D_PW,W,f,shack
ribbon,RIB,ND_W,W,f,rib
chapel,CHAP,ND_W,W,f,chap
sternat,CLICK,UNREL,W,f,click
piers,PIER,D_W,W,f,pier
ticken,TICK,D_PW,W,f,tick
tonsil,TON,ND_W,W,f,ton
racket,RACK,ND_W,W,f,rack
skillin,FEAST,UNREL,W,f,feast
jarred,JAR,D_W,W,f,jar
pimpize,PIMP,D_PW,W,f,pimp
socket,SOCK,ND_W,W,f,sock
carton,CART,ND_W,W,f,cart
blankin,PORCH,UNREL,W,f,porch
docking,DOCK,D_W,W,f,dock
summal,SUM,D_PW,W,f,sum
twinge,TWIN,ND_W,W,f,twin
pillow,PILL,ND_W,W,f,pill
tendet,LAMP,UNREL,W,f,lamp
panned,PAN,D_W,W,f,pan
hatchly,HATCH,D_PW,W,f,hatch
bushel,BUSH,ND_W,W,f,bush
prompt,PROM,ND_W,W,f,prom
