PRIME,TARGET,RELATIONSHIP,LEXICALITY,COR_ANS,target_lowercase
appending,APPEND,D_W,W,f,append
beeted,BEET,D_PW,W,f,beet
scuffle,SCUFF,ND_W,W,f,scuff
mullil,BIDE,UNREL,W,f,bide
musky,MUSK,D_W,W,f,musk
inference,INFER,D_W,W,f,infer
baskous,BASK,D_PW,W,f,bask
toilet,TOIL,ND_W,W,f,toil
briskin,CLOUT,UNREL,W,f,clout
twits,TWIT,D_W,W,f,twit
election,ELECT,D_W,W,f,elect
rumpize,RUMP,D_PW,W,f,rump
pulpit,PULP,ND_W,W,f,pulp
browon,SLID,UNREL,W,f,slid
surges,SURGE,D_W,W,f,surge
snuffs,SNUFF,D_W,W,f,snuff
tacker,TACK,D_PW,W,f,tack
tangle,TANG,ND_W,W,f,tang
trumpon,BRAWL,UNREL,W,f,brawl
sleds,SLED,D_W,W,f,sled
scalped,SCALP,D_W,W,f,scalp
muttous,MUTT,D_PW,W,f,mutt
fleece,FLEE,ND_W,W,f,flee
shackon,TIMER,UNREL,W,f,timer
ribbed,RIB,D_W,W,f,rib
chapping,CHAP,D_W,W,f,chap
sterned,STERN,D_PW,W,f,stern
pierce,PIER,ND_W,W,f,pier
tickon,DORM,UNREL,W,f,dorm
tons,TON,D_W,W,f,ton
racking,RACK,D_W,W,f,rack
skillen,SKILL,D_PW,W,f,skill
jargon,JAR,ND_W,W,f,jar
pimpon,OVEN,UNREL,W,f,oven
socked,SOCK,D_W,W,f,sock
carter,CART,D_W,W,f,cart
blankal,BLANK,D_PW,W,f,blank
docket,DOCK,ND_W,W,f,dock
summel,RAW,UNREL,W,f,raw
twins,TWIN,D_W,W,f,twin
pills,PILL,D_W,W,f,pill
tendic,TEND,D_PW,W,f,tend
panda,PAN,ND_W,W,f,pan
hatchin,BINGO,UNREL,W,f,bingo
bushes,BUSH,D_W,W,f,bush
proms,PROM,D_W,W,f,prom
patism,PAT,D_PW,W,f,pat
yellow,YELL,ND_W,W,f,yell
petnum,BOW,UNREL,W,f,bow
sandy,SAND,D_W,W,f,sand
chipping,CHIP,D_W,W,f,chip
bature,BAT,D_PW,W,f,bat
hornet,HORN,ND_W,W,f,horn
chuckin,GLORY,UNREL,W,f,glory
plainness,PLAIN,D_W,W,f,plain
dragging,DRAG,D_W,W,f,drag
bullic,BULL,D_PW,W,f,bull
ratchet,RAT,ND_W,W,f,rat
buckin,LANE,UNREL,W,f,lane
bells,BELL,D_W,W,f,bell
tricked,TRICK,D_W,W,f,trick
bander,BAND,D_PW,W,f,band
window,WIND,ND_W,W,f,wind
nickat,WEST,UNREL,W,f,west
walled,WALL,D_W,W,f,wall
cashed,CASH,D_W,W,f,cash
starren,STAR,D_PW,W,f,star
market,MARK,ND_W,W,f,mark
tripit,BANK,UNREL,W,f,bank
rocking,ROCK,D_W,W,f,rock
singer,SING,D_W,W,f,sing
planic,PLAN,D_PW,W,f,plan
sickle,SICK,ND_W,W,f,sick
freeple,BOOK,UNREL,W,f,book
picked,PICK,D_W,W,f,pick
funny,FUN,D_W,W,f,fun
turnism,TURN,D_PW,W,f,turn
carbon,CAR,ND_W,W,f,car
boycket,DAD,UNREL,W,f,dad
manly,MAN,D_W,W,f,man
cry,ANP,PSEUDOW,PW,j,anp
dip,CUW,PSEUDOW,PW,j,cuw
ego,GEP,PSEUDOW,PW,j,gep
fin,NEP,PSEUDOW,PW,j,nep
gym,ROJ,PSEUDOW,PW,j,roj
hop,TRE,PSEUDOW,PW,j,tre
jab,AIB,PSEUDOW,PW,j,aib
mat,FAL,PSEUDOW,PW,j,fal
arch,JIR,PSEUDOW,PW,j,jir
band,FUT,PSEUDOW,PW,j,fut
bear,LUP,PSEUDOW,PW,j,lup
bias,HIB,PSEUDOW,PW,j,hib
bled,DRAN,PSEUDOW,PW,j,dran
blur,REAG,PSEUDOW,PW,j,reag
bond,TARU,PSEUDOW,PW,j,taru
bray,TIEP,PSEUDOW,PW,j,tiep
clip,PHIP,PSEUDOW,PW,j,phip
demo,DROS,PSEUDOW,PW,j,dros
disc,THET,PSEUDOW,PW,j,thet
drip,YEVY,PSEUDOW,PW,j,yevy
fern,FOEM,PSEUDOW,PW,j,foem
frog,ARPY,PSEUDOW,PW,j,arpy
gold,BAWP,PSEUDOW,PW,j,bawp
heap,COWP,PSEUDOW,PW,j,cowp
hill,ELGS,PSEUDOW,PW,j,elgs
jeep,FELN,PSEUDOW,PW,j,feln
join,PLUE,PSEUDOW,PW,j,plue
loop,GRAK,PSEUDOW,PW,j,grak
lurk,ICEA,PSEUDOW,PW,j,icea
mile,LAIP,PSEUDOW,PW,j,laip
obey,JOPE,PSEUDOW,PW,j,jope
pine,ZATE,PSEUDOW,PW,j,zate
prod,POAT,PSEUDOW,PW,j,poat
rust,OICY,PSEUDOW,PW,j,oicy
scar,PAIF,PSEUDOW,PW,j,paif
swat,SIFE,PSEUDOW,PW,j,sife
swim,SKOW,PSEUDOW,PW,j,skow
tail,TAMN,PSEUDOW,PW,j,tamn
crack,VUSH,PSEUDOW,PW,j,vush
digit,WEDE,PSEUDOW,PW,j,wede
faith,ZENE,PSEUDOW,PW,j,zene
flour,ANSO,PSEUDOW,PW,j,anso
glory,BOLY,PSEUDOW,PW,j,boly
minor,TALM,PSEUDOW,PW,j,talm
pitch,DIKO,PSEUDOW,PW,j,diko
razor,DUFE,PSEUDOW,PW,j,dufe
superb,EALT,PSEUDOW,PW,j,ealt
hail,PEEM,PSEUDOW,PW,j,peem
halt,BUCT,PSEUDOW,PW,j,buct
hawk,EACK,PSEUDOW,PW,j,eack
lamb,JARK,PSEUDOW,PW,j,jark
lawn,OASY,PSEUDOW,PW,j,oasy
neat,LEBS,PSEUDOW,PW,j,lebs
nest,REEN,PSEUDOW,PW,j,reen
pile,SELY,PSEUDOW,PW,j,sely
plot,HILE,PSEUDOW,PW,j,hile
plug,HARS,PSEUDOW,PW,j,hars
robe,BOKY,PSEUDOW,PW,j,boky
root,CLAR,PSEUDOW,PW,j,clar
rode,HUBE,PSEUDOW,PW,j,hube
ruby,KECK,PSEUDOW,PW,j,keck
shed,BEAGS,PSEUDOW,PW,j,beags
silk,LONUS,PSEUDOW,PW,j,lonus
slap,FUOYS,PSEUDOW,PW,j,fuoys
bare,CAVEB,PSEUDOW,PW,j,caveb
barn,CHOCT,PSEUDOW,PW,j,choct
bass,POLDS,PSEUDOW,PW,j,polds
beam,RYNIC,PSEUDOW,PW,j,rynic
order,DOMUD,PSEUDOW,PW,j,domud
shoot,EDGUS,PSEUDOW,PW,j,edgus
touch,EWACT,PSEUDOW,PW,j,ewact
crack,ENPEL,PSEUDOW,PW,j,enpel
faith,FILNY,PSEUDOW,PW,j,filny
flour,GODRY,PSEUDOW,PW,j,godry
glory,HOVVY,PSEUDOW,PW,j,hovvy
minor,IBEAS,PSEUDOW,PW,j,ibeas
pitch,KNEOS,PSEUDOW,PW,j,kneos
razor,RONER,PSEUDOW,PW,j,roner
superb,FEACT,PSEUDOW,PW,j,feact
digit,FETACH,PSEUDOW,PW,j,fetach
