PRIME,TARGET,RELATIONSHIP,LEXICALITY,COR_ANS,target_lowercase
appenden,APPEND,D_PW,W,f,append
beetle,BEET,ND_W,W,f,beet
scuffon,SCUFF,ND_PW,W,f,scuff
mulling,MULL,D_W,W,f,mull
musked,FAZE,UNREL,W,f,faze
inferous,INFER,D_PW,W,f,infer
basket,BASK,ND_W,W,f,bask
toilin,TOIL,ND_PW,W,f,toil
briskly,BRISK,D_W,W,f,brisk
twitten,BURP,UNREL,W,f,burp
electy,ELECT,D_PW,W,f,elect
rumple,RUMP,ND_W,W,f,rump
pulpat,PULP,ND_PW,W,f,pulp
brows,BROW,D_W,W,f,brow
surgeous,POTTY,UNREL,W,f,potty
snuffic,SNUFF,D_PW,W,f,snuff
tackle,TACK,ND_W,W,f,tack
tangon,TANG,ND_PW,W,f,tang
trumped,TRUMP,D_W,W,f,trump
sleden,DAMP,UNREL,W,f,damp
scalpy,SCALP,D_PW,W,f,scalp
mutton,MUTT,ND_W,W,f,mutt
fleeth,FLEE,ND_PW,W,f,flee
shacked,SHACK,D_W,W,f,shack
ribbal,VOW,UNREL,W,f,vow
chapen,CHAP,D_PW,W,f,chap
sternum,STERN,ND_W,W,f,stern
pierch,PIER,ND_PW,W,f,pier
ticker,TICK,D_W,W,f,tick
tonist,RUM,UNREL,W,f,rum
rackity,RACK,D_PW,W,f,rack
skillet,SKILL,ND_W,W,f,skill
jarnel,JAR,ND_PW,W,f,jar
pimped,PIMP,D_W,W,f,pimp
socken,FAME,UNREL,W,f,fame
cartly,CART,D_PW,W,f,cart
blanket,BLANK,ND_W,W,f,blank
dockot,DOCK,ND_PW,W,f,dock
summed,SUM,D_W,W,f,sum
twinure,FUND,UNREL,W,f,fund
pilly,PILL,D_PW,W,f,pill
tendon,TEND,ND_W,W,f,tend
panac,PAN,ND_PW,W,f,pan
hatched,HATCH,D_W,W,f,hatch
busher,CORN,UNREL,W,f,corn
prommed,PROM,D_PW,W,f,prom
pattern,PAT,ND_W,W,f,pat
yellot,YELL,ND_PW,W,f,yell
petted,PET,D_W,W,f,pet
sandize,WING,UNREL,W,f,wing
chipen,CHIP,D_PW,W,f,chip
batch,BAT,ND_W,W,f,bat
hornin,HORN,ND_PW,W,f,horn
chucked,CHUCK,D_W,W,f,chuck
plainist,ROUTE,UNREL,W,f,route
dragic,DRAG,D_PW,W,f,drag
bullet,BULL,ND_W,W,f,bull
ratuble,RAT,ND_PW,W,f,rat
bucked,BUCK,D_W,W,f,buck
bellen,DRAW,UNREL,W,f,draw
tricken,TRICK,D_PW,W,f,trick
bandit,BAND,ND_W,W,f,band
windil,WIND,ND_PW,W,f,wind
nicked,NICK,D_W,W,f,nick
wallist,PUSH,UNREL,W,f,push
cashic,CASH,D_PW,W,f,cash
starch,STAR,ND_W,W,f,star
markon,MARK,ND_PW,W,f,mark
tripping,TRIP,D_W,W,f,trip
rockize,PAID,UNREL,W,f,paid
singism,SING,D_PW,W,f,sing
planet,PLAN,ND_W,W,f,plan
sickon,SICK,ND_PW,W,f,sick
freedom,FREE,D_W,W,f,free
pickly,HALF,UNREL,W,f,half
funnic,FUN,D_PW,W,f,fun
turnip,TURN,ND_W,W,f,turn
carlum,CAR,ND_PW,W,f,car
boyhood,BOY,D_W,W,f,boy
manize,HEY,UNREL,W,f,hey
cry,ANP,PSEUDOW,PW,j,anp
dip,CUW,PSEUDOW,PW,j,cuw
ego,GEP,PSEUDOW,PW,j,gep
fin,NEP,PSEUDOW,PW,j,nep
gym,ROJ,PSEUDOW,PW,j,roj
hop,TRE,PSEUDOW,PW,j,tre
jab,AIB,PSEUDOW,PW,j,aib
mat,FAL,PSEUDOW,PW,j,fal
arch,JIR,PSEUDOW,PW,j,jir
band,FUT,PSEUDOW,PW,j,fut
bear,LUP,PSEUDOW,PW,j,lup
bias,HIB,PSEUDOW,PW,j,hib
bled,DRAN,PSEUDOW,PW,j,dran
blur,REAG,PSEUDOW,PW,j,reag
bond,TARU,PSEUDOW,PW,j,taru
bray,TIEP,PSEUDOW,PW,j,tiep
clip,PHIP,PSEUDOW,PW,j,phip
demo,DROS,PSEUDOW,PW,j,dros
disc,THET,PSEUDOW,PW,j,thet
drip,YEVY,PSEUDOW,PW,j,yevy
fern,FOEM,PSEUDOW,PW,j,foem
frog,ARPY,PSEUDOW,PW,j,arpy
gold,BAWP,PSEUDOW,PW,j,bawp
heap,COWP,PSEUDOW,PW,j,cowp
hill,ELGS,PSEUDOW,PW,j,elgs
jeep,FELN,PSEUDOW,PW,j,feln
join,PLUE,PSEUDOW,PW,j,plue
loop,GRAK,PSEUDOW,PW,j,grak
lurk,ICEA,PSEUDOW,PW,j,icea
mile,LAIP,PSEUDOW,PW,j,laip
obey,JOPE,PSEUDOW,PW,j,jope
pine,ZATE,PSEUDOW,PW,j,zate
prod,POAT,PSEUDOW,PW,j,poat
rust,OICY,PSEUDOW,PW,j,oicy
scar,PAIF,PSEUDOW,PW,j,paif
swat,SIFE,PSEUDOW,PW,j,sife
swim,SKOW,PSEUDOW,PW,j,skow
tail,TAMN,PSEUDOW,PW,j,tamn
crack,VUSH,PSEUDOW,PW,j,vush
digit,WEDE,PSEUDOW,PW,j,wede
faith,ZENE,PSEUDOW,PW,j,zene
flour,ANSO,PSEUDOW,PW,j,anso
glory,BOLY,PSEUDOW,PW,j,boly
minor,TALM,PSEUDOW,PW,j,talm
pitch,DIKO,PSEUDOW,PW,j,diko
razor,DUFE,PSEUDOW,PW,j,dufe
superb,EALT,PSEUDOW,PW,j,ealt
hail,PEEM,PSEUDOW,PW,j,peem
halt,BUCT,PSEUDOW,PW,j,buct
hawk,EACK,PSEUDOW,PW,j,eack
lamb,JARK,PSEUDOW,PW,j,jark
lawn,OASY,PSEUDOW,PW,j,oasy
neat,LEBS,PSEUDOW,PW,j,lebs
nest,REEN,PSEUDOW,PW,j,reen
pile,SELY,PSEUDOW,PW,j,sely
plot,HILE,PSEUDOW,PW,j,hile
plug,HARS,PSEUDOW,PW,j,hars
robe,BOKY,PSEUDOW,PW,j,boky
root,CLAR,PSEUDOW,PW,j,clar
rode,HUBE,PSEUDOW,PW,j,hube
ruby,KECK,PSEUDOW,PW,j,keck
shed,BEAGS,PSEUDOW,PW,j,beags
silk,LONUS,PSEUDOW,PW,j,lonus
slap,FUOYS,PSEUDOW,PW,j,fuoys
bare,CAVEB,PSEUDOW,PW,j,caveb
barn,CHOCT,PSEUDOW,PW,j,choct
bass,POLDS,PSEUDOW,PW,j,polds
beam,RYNIC,PSEUDOW,PW,j,rynic
order,DOMUD,PSEUDOW,PW,j,domud
